metadata_score,text_score,missing_field_count,repeated_text_count,text_length,average_blur,average_contrast,average_brightness,tampering_score,label
5,5,0,0,1200,150,48,210,5,0
10,8,0,0,1500,180,52,220,8,0
8,12,0,0,950,130,45,215,10,0
15,10,0,0,1800,160,50,205,12,0
12,15,1,0,1300,140,47,218,15,0
20,18,1,0,1100,120,44,225,25,0
35,30,2,1,900,90,40,230,45,1
45,35,2,2,850,80,38,235,55,1
55,40,3,2,700,60,35,240,65,1
65,50,3,3,650,45,32,245,75,1
70,55,4,3,500,40,30,250,82,1
80,65,5,4,450,30,28,252,90,1
